number_version,commit
664,[maven-release-plugin] prepare for next development iteration
665,[maven-release-plugin] prepare release v0.3.208
667,[maven-release-plugin] prepare release v0.3.209
669,[maven-release-plugin] prepare release v0.3.210
670,[maven-release-plugin] prepare for next development iteration
671,[maven-release-plugin] prepare release v0.3.211
672,[maven-release-plugin] prepare for next development iteration
673,[maven-release-plugin] prepare release v0.3.212
674,[maven-release-plugin] prepare for next development iteration
675,[maven-release-plugin] prepare release v0.3.213
677,[maven-release-plugin] prepare release v0.3.214
678,[maven-release-plugin] prepare for next development iteration
679,[maven-release-plugin] prepare release v0.3.215
680,[maven-release-plugin] prepare for next development iteration
740,[maven-release-plugin] prepare for next development iteration
741,[maven-release-plugin] prepare release v0.3.246
742,[maven-release-plugin] prepare for next development iteration
743,[maven-release-plugin] prepare release v0.3.247
744,[maven-release-plugin] prepare for next development iteration
747,[maven-release-plugin] prepare release v0.3.249
748,[maven-release-plugin] prepare for next development iteration
749,[maven-release-plugin] prepare release v0.3.250
751,[maven-release-plugin] prepare release v0.3.251
752,[maven-release-plugin] prepare for next development iteration
753,[maven-release-plugin] prepare release v0.3.252
754,[maven-release-plugin] prepare for next development iteration
755,[maven-release-plugin] prepare release v0.3.253
756,[maven-release-plugin] prepare for next development iteration
758,[maven-release-plugin] prepare for next development iteration
759,[maven-release-plugin] prepare release v0.3.255
760,[maven-release-plugin] prepare for next development iteration
761,[maven-release-plugin] prepare release v0.3.256
763,[maven-release-plugin] prepare release v0.3.257
765,[maven-release-plugin] prepare release v0.3.258
766,[maven-release-plugin] prepare for next development iteration
767,[maven-release-plugin] prepare release v0.3.259
768,[maven-release-plugin] prepare for next development iteration
769,Upgrade docker-client dep from 3.3.4 to 3.5.9
770,Bump minor version from 0.3 to 0.4
772,Merge pull request #127 from HotelsDotCom/master
773,[maven-release-plugin] prepare release v0.4.0
774,[maven-release-plugin] prepare for next development iteration
775,Add support for LABEL's in Dockerfile
776,Merge pull request #189 from spotify/rohan/labels
777,[maven-release-plugin] prepare release v0.4.1
778,[maven-release-plugin] prepare for next development iteration
779,Added badge for plugin version
780,Merge pull request #190 from velo/patch-1
782,Add issue template to help users specify more info
784,Support for docker command line option --build-arg
785,Declare Json Object Mapper as static variable
786,Remove useless Dockerfile in build-arg test
787,Merge pull request #198 from lrolaz/add-buildargs
791,Merge pull request #199 from spotify/dxia/upgrade-docker-client
792,[maven-release-plugin] prepare release v0.4.3
793,[maven-release-plugin] prepare for next development iteration
794,[maven-release-plugin] prepare release v0.4.4
795,[maven-release-plugin] prepare for next development iteration
796,"Document how to bind Docker build, tag & push to Maven phases"
797,Merge pull request #204 from cthiebault/patch-1
798,Merge pull request #191 from kyleprager/forceTags-updated-readme
799,Move DOCKER_HOST info under Setup
801,checkstyle: Ensure local variables are final
802,"Fix checkstyle errors, mostly final vars"
803,Do not checkstyle for auto-generated HelpMojo
805,[maven-release-plugin] prepare release v0.4.5
806,[maven-release-plugin] prepare for next development iteration
807,Add dockerCertPath option to allow SSL connection to dockerHost
808,Merge pull request #216 from lrolaz/docker-cert-path
809,Upgrade docker-client dep from 3.6.1 to 4.0.2
2,Added release plugin to pom
13,[maven-release-plugin] prepare for next development iteration
16,Merge pull request #7 from spotify/dano/image-info-create-directory
17,Merge pull request #6 from spotify/dano/image-info-prop
55,[maven-release-plugin] prepare release v0.0.21
66,Merge pull request #30 from spotify/dxia/upgrade-docker-client
98,Merge pull request #42 from kvfedorov/master
103,Merge pull request #46 from evgeny-goldin/master
118,[maven-release-plugin] prepare for next development iteration
811,[maven-release-plugin] prepare release v0.4.6
812,[maven-release-plugin] prepare for next development iteration
813,[maven-release-plugin] prepare release v0.4.7
814,[maven-release-plugin] prepare for next development iteration
815,using docker config file for authentication
817,Merge pull request #224 from rbedemann/master
818,[maven-release-plugin] prepare release v0.4.8
819,[maven-release-plugin] prepare for next development iteration
821,[maven-release-plugin] prepare for next development iteration
822,update to docker-client:4.0.8
823,fix compilation error from docker-client 4.0.8
824,Merge pull request #230 from spotify/docker-client-4.0.8
825,[maven-release-plugin] prepare release v0.4.10
826,[maven-release-plugin] prepare for next development iteration
827,Upgrade docker-client dep from 4.0.8 to 5.0.1
828,Merge pull request #232 from spotify/dxia/upgrade-docker-client
829,deploy snapshots to maven central from travis
831,update badges in README to use travis
832,travis config needs to have docker enabled
833,Merge pull request #235 from spotify/deploy-snapshots-from-travis
834,Special characters in filenames are not escaped  (#248)
835,Make sure that you can apply multiple tags even if the imageName contains a tag (#249)
836,[maven-release-plugin] prepare release v0.4.11
41,[maven-release-plugin] prepare for next development iteration
445,[maven-release-plugin] prepare release v0.3.98
452,[maven-release-plugin] prepare for next development iteration
470,[maven-release-plugin] prepare for next development iteration
486,[maven-release-plugin] prepare for next development iteration
358,[maven-release-plugin] prepare for next development iteration
273,[maven-release-plugin] prepare release v0.3.12
298,[maven-release-plugin] prepare for next development iteration
324,[maven-release-plugin] prepare for next development iteration
340,[maven-release-plugin] prepare for next development iteration
359,[maven-release-plugin] prepare release v0.3.55
488,[maven-release-plugin] prepare for next development iteration
366,[maven-release-plugin] prepare for next development iteration
837,[maven-release-plugin] prepare for next development iteration
838,Add skipDockerPush and skipDocker properties (#205)
280,[maven-release-plugin] prepare for next development iteration
316,[maven-release-plugin] prepare for next development iteration
496,[maven-release-plugin] prepare for next development iteration
839,[maven-release-plugin] prepare release v0.4.12
840,[maven-release-plugin] prepare for next development iteration
841,Add ability to send --rm param on build (seems needed for CircleCI)
842,Merge pull request #272 from johnWorrell/allow_no_rm_of_intermediate_images_for_circleci
843,[maven-release-plugin] prepare release v0.4.13
844,[maven-release-plugin] prepare for next development iteration
845,Fixed wrong mvn commandline example
846,Merge pull request #287 from ChristianHersevoort/patch-1
847,Added Docker 1.12 optional 'healthcheck' element.
848,README: Correct tags-to-be-pushed CLI parameters
849,README: dockerImageTags should be comma-delimited
850,Add support for image names with private registry and port (port in registry part must not be taken as tag)
851,Add option to save the built image to a tar archive.
852,Remove unnecessary imports.
444,[maven-release-plugin] prepare for next development iteration
344,[maven-release-plugin] prepare for next development iteration
356,[maven-release-plugin] prepare for next development iteration
530,[maven-release-plugin] prepare for next development iteration
531,[maven-release-plugin] prepare release v0.3.141
556,[maven-release-plugin] prepare for next development iteration
572,[maven-release-plugin] prepare for next development iteration
7,[maven-release-plugin] prepare for next development iteration
19,Merge pull request #8 from spotify/dano/guava12
29,Merge pull request #13 from spotify/rculbertson/retain-directory-structure
46,Merge pull request #21 from spotify/rculbertson/imageName-in-session
56,[maven-release-plugin] prepare for next development iteration
72,Merge pull request #33 from spotify/dxia/cd-pipe
105,Merge pull request #49 from dflemstr/reset-resource-timestamps
122,[maven-release-plugin] prepare for next development iteration
186,Remove duplicate junit dep
294,[maven-release-plugin] prepare for next development iteration
314,[maven-release-plugin] prepare for next development iteration
328,[maven-release-plugin] prepare for next development iteration
574,[maven-release-plugin] prepare for next development iteration
582,[maven-release-plugin] prepare for next development iteration
598,[maven-release-plugin] prepare for next development iteration
616,[maven-release-plugin] prepare for next development iteration
401,[maven-release-plugin] prepare release v0.3.76
512,[maven-release-plugin] prepare for next development iteration
286,[maven-release-plugin] prepare for next development iteration
293,[maven-release-plugin] prepare release v0.3.22
372,[maven-release-plugin] prepare for next development iteration
640,[maven-release-plugin] prepare for next development iteration
656,[maven-release-plugin] prepare for next development iteration
659,[maven-release-plugin] prepare release v0.3.205
666,[maven-release-plugin] prepare for next development iteration
386,[maven-release-plugin] prepare for next development iteration
442,[maven-release-plugin] prepare for next development iteration
458,[maven-release-plugin] prepare for next development iteration
172,Merge pull request #103 from spotify/fix-NPE-tagInfoFile
188,[maven-release-plugin] prepare for next development iteration
202,[maven-release-plugin] prepare for next development iteration
215,[maven-release-plugin] prepare for next development iteration
235,Merge branch 'master' of https://github.com/spotify/docker-maven-plugin
472,[maven-release-plugin] prepare for next development iteration
487,[maven-release-plugin] prepare release v0.3.119
516,[maven-release-plugin] prepare for next development iteration
528,[maven-release-plugin] prepare for next development iteration
538,[maven-release-plugin] prepare for next development iteration
544,[maven-release-plugin] prepare for next development iteration
558,[maven-release-plugin] prepare for next development iteration
573,[maven-release-plugin] prepare release v0.3.162
586,[maven-release-plugin] prepare for next development iteration
602,[maven-release-plugin] prepare for next development iteration
614,[maven-release-plugin] prepare for next development iteration
617,[maven-release-plugin] prepare release v0.3.184
628,[maven-release-plugin] prepare for next development iteration
642,[maven-release-plugin] prepare for next development iteration
657,[maven-release-plugin] prepare release v0.3.204
662,[maven-release-plugin] prepare for next development iteration
676,[maven-release-plugin] prepare for next development iteration
688,[maven-release-plugin] prepare for next development iteration
745,[maven-release-plugin] prepare release v0.3.248
414,[maven-release-plugin] prepare for next development iteration
426,[maven-release-plugin] prepare for next development iteration
430,[maven-release-plugin] prepare for next development iteration
750,[maven-release-plugin] prepare for next development iteration
762,[maven-release-plugin] prepare for next development iteration
771,Merge pull request #178 from spotify/dxia/upgrade-docker-client
781,"added documentation to README.md for ""forceTags"" option.  Related to issue #188 -- HTTP 409 error when using imageTag"
788,[maven-release-plugin] prepare release v0.4.2
789,[maven-release-plugin] prepare for next development iteration
820,[maven-release-plugin] prepare release v0.4.9
830,travis: output info about docker environment before run
58,[maven-release-plugin] prepare for next development iteration
74,Refactor build and release process
75,Add support for HTTPS & Unix sockets
85,Re-add deploy:deploy goal to lifecycle to publish Docker image JAR
120,Merge pull request #59 from spotify/dxia/better-err-msg
152,[maven-release-plugin] prepare for next development iteration
187,[maven-release-plugin] prepare release v0.2.13
198,Build fails for long lines
214,[maven-release-plugin] prepare release v0.3.4
239,Add configurable timeout and retry count for docker pushes.
243,[maven-release-plugin] prepare release v0.3.6
244,[maven-release-plugin] prepare for next development iteration
245,Merge pull request #151 from spotify/add-dest-path
246,Merge pull request #157 from spotify/fix-copy-dir
